Detail_URL,Name,Item#,Price,Image,Detail,Why we love it,Benefits,Directions,Ingredients,Facebook,Twitter,Reviews
https://www.beautybrands.com/product/tweezerman+glass+nail+file.do,Tweezerman Glass Nail File,26836,"USD,8.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26836_default.tif&wid=1000=&cvt=jpeg,Expertly shape and smooth natural nail edges with this highly precise and durable glass nail file.,"This high quality glass file is gentle on nails for a nice, smooth edge.", The Glass Nail File precisely shapes and smooths natural nails. Benefits: - Shape and smooth natural nail edges with high precision glass material - Glass material is durable and easy to clean - Case included   ,Start at the side of the nail and file in one direction towards the center. Repeat on opposite side.,,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/tweezerman+glass+nail+file.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Tweezerman Glass Nail File&url=www.beautybrands.com/product/tweezerman+glass+nail+file.do,224
https://www.beautybrands.com/category/salon+services/salon+%26+spa+inspo+gallery+by+category/esthetics.do,,,,,,,,,,,,
https://www.beautybrands.com/product/opi+infinite+shine+summer+make+the+rules+collection.do,OPI Infinite Shine Summer Make the Rules Collection,26822,"USD,14.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26822_default.tif&wid=1000=&cvt=jpeg,"Start your yay job with this long-lasting nail polish in colorful, summer-inspired hues.",Party til dawn in these bold hues that deliver gel-like shine and up to 11 days of wear.," Tropic like it s hot and heat things up as you do. Your bold and colorful demeanor are the envy of all. Now it s time to meet your match. Equal parts business and pleasure, swimsuit up in long-lasting nail polish that commands everyone's attention. You ve just beached full potential. Get down to business with daring pastels and shocking brights from OPI Summer Make the Rules Collection. OPI's Infinite Shine is a three-step long lasting nail polish line that provides gel-like high shine and 11 days of wear. Use with Infinite Shine Primer and Infinite Shine Gloss for extended wear. Made in the USA. Benefits: - Stay-true color and shine for up to 11 days of wear with ProStay Technology - Gel-like high shine finish - Applies and removes easily like a regular nail polish - No UV or LED light needed  ",1. Properly prep your natural nail for long lasting nail polish to ensure lacquer adhesion. Apply one coat of Infinite Shine Primer.,,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+infinite+shine+summer+make+the+rules+collection.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Infinite Shine Summer Make the Rules Collection&url=www.beautybrands.com/product/opi+infinite+shine+summer+make+the+rules+collection.do,0
https://www.beautybrands.com/category/salon+services/salon+%26+spa+inspo+gallery+by+category/lash+%26+brow.do,,,,,,,,,,,,
https://www.beautybrands.com/product/drybar+final+call+frizz+%26+static+control+mist.do,Drybar Final Call Frizz & Static Control Mist,26821,"USD,29.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26821_default.tif&wid=1000=&cvt=jpeg,"Touchable finishing spray creates an invisible shield to help provide long-lasting humidity and static resistance, fight frizz and tame flyaways to maintain a smooth and shiny blowout.",," Touchable finishing spray creates an invisible shield to help provide long-lasting humidity and static resistance, fight frizz and tame flyaways to maintain a smooth and shiny blowout. Benefits: - Clinically tested to provide instant frizz and static control for up to 24 hours - Sunflower Seed and Jojoba help provide a water-resistant barrier around each hair fiber for a long-lasting smooth style in both dry and humid climates - Environmental Protection Complex, with a UV inhibitor and Vitamin C antioxidant, helps defend against pollution and environmental damage - Nourishing blend of Monoi Oil, Coconut Milk, and Vitamin E add softness and shine - Silicone-free, lightweight formula - Leaves a shiny, smooth finish without hold - Features Drybar's Blanc scent with notes of coconut, amber and vanilla   ","Use as a final step on dry hair. Shake well. Hold can 6-8"" (15-20cm) from hair and mist evenly throughout. Use lightly on fine hair.","Alcohol Denat., Hydrofluorocarbon 152a, Hexadecene, Neopentyl Glycol Diheptanoate, Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer, Isododecane, Behentrimonium Chloride (as an anti-static statement/ en tant qu agent anti-statique), Diheptyl Succinate, Jojoba Esters, Helianthus Annuus (Sunflower) Seed Wax, Gardenia Taitensis Flower, Vanilla Planifolia Fruit Extract, Polyglycerin-3, Tocopherol, Tetrahexyldecyl Ascorbate, Capryloyl Glycerin/Sebacic Acid Copolymer, Ethylhexyl Methoxycinnamate, Cocos Nucifera (Coconut) Oil, Glycerin, Octadecene, Aminomethyl Propanol, Aqua / Water / Eau, Isopropyl Alcohol, Leuconostoc/Radish Root Ferment Filtrate, BHT, Parfum / Fragrance, Coumarin.",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/drybar+final+call+frizz+%26+static+control+mist.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Drybar Final Call Frizz & Static Control Mist&url=www.beautybrands.com/product/drybar+final+call+frizz+%26+static+control+mist.do,0
https://www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+4+pc+mini+pack.do,OPI Nail Lacquer Summer Make the Rules 4 pc Mini Pack,26825,"USD,19.94",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26825_default.tif&wid=1000=&cvt=jpeg,"Get a bright, bold summer vibe with this nail polish 4-pc. mini pack from OPI's #SummerMakeTheRules collection.",Party til dawn in these bold hues that deliver a chip-resistant finish and up to 7 days of wear.," Tropic like it s hot and heat things up as you do. Your bold and colorful demeanor are the envy of all. Now it s time to meet your match. Equal parts business and pleasure, swimsuit up in long-lasting nail polish that commands everyone's attention. You ve just beached full potential. Get down to business with daring pastels and shocking brights from OPI Summer Make the Rules Collection. Nail Lacquer is OPI's original nail polish formula. Use your nail polish shade with OPI base coat and top coat for extended wear. Benefits: - Up to seven days of wear - Fast-drying formula - Over 200 shades to choose from  ","Properly prep your natural nail to ensure nail lacquer adhesion. Start by applying one coat of OPI Natural Nail Base Coat. Shake nail polish shade of choice before application to properly mix pigment (this will help avoid streakiness!). Apply two thin coats to each nail. Brush some nail polish at the nail's free edge to cap the nail and help prevent chipping. Lastly, apply OPI Top Coat. Also cap the free edge with Top Coat. For a manicure that's dry to the touch in minutes, apply 1 drop of DripDry Lacquer Drying Drops to each nail.",,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+4+pc+mini+pack.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Nail Lacquer Summer Make the Rules 4 pc Mini Pack&url=www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+4+pc+mini+pack.do,0
https://www.beautybrands.com/product/living+proof+jumbo+advanced+clean+dry+shampoo.do,Living Proof Jumbo Advanced Clean Dry Shampoo,26859,"USD,44.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26859_default.tif&wid=1000=&cvt=jpeg,"Need a hard reset? This advanced dry shampoo removes oil, sweat, and odor, while adding softness and shine for that fresh-out-of-the-shower feel.","Don't just clean your hair, care for it! Finally, a dry shampoo that works just as well as regular shampoos."," Instead of seeking to create the best dry shampoo, we sought to create the best shampoo...that didn't need water. This allowed us to push dry shampoo to a whole new level one that doesn t just clean hair, it cares for it. Our new delivery system starts the cleaning process with a uniform application, allowing fast-absorbing powders to soak up oil, sweat, and odor. Then, the new powder removal system easily eliminates activated powders for a fresh start. Finally, finishing and conditioning agents refresh your scalp, balance sebum levels, and leave hair soft, shiny, and more manageable. The result? A fresh-out-of-the-shower look and feel. (Yes, really.) Features: - Cleans like a shampoo for that just-washed look and feel - Actually cleans hair, removing oil, sweat, and odor - Provides conditioning benefits such as softness, shine, and manageability - Balances sebum levels, so you can go even longer between washes - Leaves no visible residue thanks to our advanced powder removal system - Improved delivery for more even distribution - Refreshes the scalp - Provides pollution protection - Silicone-free, Paraben-free, Phthalates-free, Cruelty-free, Vegan, Color safe, Safe for chemically treated hair   ","SHAKE CAN EXTREMELY WELL FOR MAXIMUM CLEANING RESULTS. Hold can 6-10 away from dry, dirty hair. Section and apply product in a sweeping motion. Wait 30 seconds. Remove powder by massaging and shaking at roots with fingers or brush hair. Apply more as needed, shake can again. Style as desired.","Hydrofluorocarbon 152a, Isobutane, Alcohol Denat., Oryza Sativa (Rice) Starch, Propane, Cyclodextrin, Zea Mays (Corn) Starch, Furcellaria Lumbricalis Extract, Hydrated Silica, Hydroxypropyl Arginine Lauryl/Myristyl Ether HCl, Tetraselmis Suecica Extract, Isopropyl Lauroyl Sarcosinate, Cetrimonium Chloride, Glycerin, Mannitol, Polyvinyl Alcohol, Disteardimonium Hectorite, Water/Eau/Aqua, Fragrance/Parfum, Citronellyl Methylcrotonate, Linalool, Citronellol, Benzyl Salicylate, Citral, Limonene.",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/living+proof+jumbo+advanced+clean+dry+shampoo.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Living Proof Jumbo Advanced Clean Dry Shampoo&url=www.beautybrands.com/product/living+proof+jumbo+advanced+clean+dry+shampoo.do,1
https://www.beautybrands.com/product/loma+daily+shampoo.do,LOMA Daily Shampoo,26893,"USD,18.98",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26893_default.tif&wid=1000=&cvt=jpeg,"A Daily Shampoo for all hair types, especially fine to normal.",LOMA Daily Shampoo and Conditioner will add fullness and volume to finer textured hair while keeping it lightweight and manageable.," LOMA Daily Shampoo is a naturally nourishing cleanser for all hair types, especially fine to normal. This shampoo is LOMA's most cleansing, clarifying, and volumizing. Tangerine, orange & grapefruit aromatherapy. Benefits: - Safe for use on color treated hair - Shine and detangling - Thermal protection - Sulfate, soy, gluten and paraben free cleansing - Naturally nourishing and purifying to leave hair and scalp healthy - Enhance, protect, restore and repair the hair's natural moisture balance - LOMA's most effective solution for oily hair and scalps; citrus thoroughly cleanses while adding shine and luster - For all hair types, especially fine to normal  ","Wet hair, apply desired amount, lather, rinse and follow with Daily Conditioner.","Aloe barbadensis leaf juice (aloe vera gel)*, sodium methyl-2 sulfolaurate & disodium 2-sulfolaurates/sodium lauryl sulfoacetate, cocamidopropyl betaine, glycerin, citrus tangerina (tangerine) peel oil, citrus aurantium dulcis (orange) peel oil, citrus paradisi (grapefruit) oil, polyquaternium-7, gluconolactone, cetrimonium chloride, polyquaternium-4, hydrolyzed quinoa, chlorphenesin, citric acid, glycerin* & water & lavandula angustifolia (lavender) flower/leaf/stem extract* & foeniculum vulgare (fennel) seed extract* & helianthus annuus (sunflower) seed extract*, tocopherol (vitamin e)*, helianthus annuus (sunflower) seed oil*, carthamus tinctorius (safflower) seed oil*, panthenol (vitamin b-5), sodium phytate. *Certified Organic",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/loma+daily+shampoo.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=LOMA Daily Shampoo&url=www.beautybrands.com/product/loma+daily+shampoo.do,0
https://www.beautybrands.com/product/tweezerman+glass+manicure+set.do,Tweezerman Glass Manicure Set,26839,"USD,28.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26839_default.tif&wid=1000=&cvt=jpeg,"Crafted for natural nail maintenance, best in class tools are easy to sanitize.","Buff, clip, and file for nails that shine with these longlasting durable glass tools."," The Glass Manicure Set is designed to gently trim, shape, buff and shine nails. Best in class tools that are easy to sanitize & perfect to achieve a polish-free natural nail look. Benefits: - Glass Nail File and Buffer are gentle to shape, smooth, and shine nails while preventing peeling or splitting nails - Nail File shapes and smooths natural nail edges - Nail Buffer smooths and polishes nail bed to a high shine - Thin, hand buffed flat edge pushes back cuticles and cleans under nails without scratching. Made of high-quality stainless steel with no-slip grip - Fingernail Clipper features sharp, strong, stainless steel cutting blades to precisely trim nails. Rounded blades follow natural shape of nails.   ",1. Apply moisturizer or cuticle cream to soften cuticles. Use flat end of pushy to push back cuticles.,,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/tweezerman+glass+manicure+set.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Tweezerman Glass Manicure Set&url=www.beautybrands.com/product/tweezerman+glass+manicure+set.do,224
https://www.beautybrands.com/product/drybar+the+tress+press+straightening+iron+1%22.do,"Drybar The Tress Press Straightening Iron 1""",26695,"USD,169.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26695_default.tif&wid=1000=&cvt=jpeg,Dual-purpose iron allows you to quickly style even the thickest hair into super-sleek straight looks or add a bit of wave or curl.,Reduce heat damage with this styler that straightens and smooths in a single pass!," Titanium Technology seals the cuticle for less frizz and tons of shine while styling. Infrared Technology heats hair from the inside out to help maintain healthy locks. 1"" floating plates provide constant contact with the hair to straighten in a single pass. Rounded edges allow you to easily wrap hair around the barrel for waves and curls. Digital temperature control allows for custom styling on all hair types (heats up to 450°F/232°C). Features a 60-minute automatic safety shut-off and a professional length 9 ft (2.74 m) cord. Universal voltage for overseas travel without a converter. Features: - Quickly achieve super-sleek straight hair or add waves and curl - Seals the cuticle for less frizz and tons of shine - 1"" plates allow for straightening in a single pass - Rounded edges allow for easy wrapping for waves and curls - Digital temperature control - 60-minute automatic safety shut-off - Professional length 9 foot cord - Universal voltage for overseas travel without a converter   ","Work in 2"" (5 cm) cleanly parted, brushed sections. To straighten, hold iron horizontally. Clamp hair at the root and slowly pull through to the ends, slightly beveling toward the face to prevent static. To curl, hold iron vertically. Clamp hair midway through the section, then twist the iron away from your face 180 degrees and pull forward through to the ends. The more slowly you pull, the greater the curl. For waves, pull through more quickly.",,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/drybar+the+tress+press+straightening+iron+1%22.do&src=sdkpreparse,"https://twitter.com/intent/tweet?text=Drybar The Tress Press Straightening Iron 1""&url=www.beautybrands.com/product/drybar+the+tress+press+straightening+iron+1%22.do",47
https://www.beautybrands.com/product/tweezerman+glass+buffer.do,Tweezerman Glass Buffer,26844,"USD,15.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26844_default.tif&wid=1000=&cvt=jpeg,Smooth and polish nail beds to a high shine with the Glass Nail Buffer.,This buffer can be used again and again to smooth the ridges of nail plates while leaving a polish-like shine.," Smooth and polish nail beds to a high shine with the Glass Nail Buffer. This buffer is durable, reusable, and gentle enough to buff and polish natural nail beds to a high shine in one easy step. Benefits: - Glass buffer is gentle to buff and shine nails in one step while preventing peeling or splitting nails - Glass material is durable, gentle to use, and easy to clean - Sustainable alternative to disposable buffers - Filemate included for easy storage   ","Use the flat, grainier side of the glass buffer to gently file against the nail surface. Start on sides of nail and work toward center.",,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/tweezerman+glass+buffer.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Tweezerman Glass Buffer&url=www.beautybrands.com/product/tweezerman+glass+buffer.do,140
https://www.beautybrands.com/product/opi+natural+nail+strengthener.do,OPI Natural Nail Strengthener,27018,"USD,11.50",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/27018_default.tif&wid=1000=&cvt=jpeg,"For strong nails on their own or under color, buff up your nails with OPI Natural Nail Strengthener.",," Infused with vitamins A and E, OPI Natural Nail Strengthener delivers stronger nails and helps prevent discoloration. Wear it alone or use it as a base coat under color to add muscle to your mani. Benefits: - Strengthens nails - Prevents discoloration - Can be worn alone or as a base coat - A vegan formula with no animal-derived ingredients or by-products - 9-free: free of Formaldehyde, Formaldehyde Resin, Toluene, Xylene, Dibutyl phthalate (DBP), Camphor, Parabens, Ethyl Tosylamide, and Triphenyl Phosphate - Contains vitamins A and E  ","Daily nail strengthener: Apply 2 coats to bare nails, followed by an additional coat daily.","Butyl Acetate, Ethyl Acetate, Alcohol Denat., Nitrocellulose, Acrylates/Hydroxyesters Acrylates Copolymer, Tribenzoin, Isopropyl Alcohol, n-Butyl Alcohol, Tosylamide/Epoxy Resin, Tocopheryl Acetate, Retinyl Palmitate, Dimethicone, Violet 2 (CI 60725).",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+natural+nail+strengthener.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Natural Nail Strengthener&url=www.beautybrands.com/product/opi+natural+nail+strengthener.do,0
https://www.beautybrands.com/product/opi+nail+envy+nail+strengthener+for+soft+and+thin+nails.do,OPI Nail Envy Nail Strengthener for Soft and Thin Nails,9841,"USD,9.48",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/9841_default.tif&wid=1000=&cvt=jpeg,"OPI Nail Envy Nail Strengthener for Soft and Thin Nails is a strengthening formula that fortifies soft, thin nails.,Size:, 0.5 oz",Transform your nails from fragile to fabulous with this protein-infused formula that prevents breaking and splitting.," OPI Nail Envy Nail Strengthener for Soft & Thin Nails is a strengthening formula that fortifies soft, thin nails with extra calcium. It adds a layer of protection to bulk up soft nails! Features: - Strengthening formula - Foritifies soft, thin nails - Contains extra calcium - Adds a layer of protection - Bulks up soft nails  ","Push back cuticles and apply two coats to dry, clean nails. Follow with one coat every other day.","Ethyl Acetate, Butyl Acetate, Nitrocellulose, Alcohol Denat./SD Alcohol 40-B, Heptane, Isopropyl Alcohol, Triphenyl Phosphate, Trimethyl Pentanyl",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+nail+envy+nail+strengthener+for+soft+and+thin+nails.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Nail Envy Nail Strengthener for Soft and Thin Nails&url=www.beautybrands.com/product/opi+nail+envy+nail+strengthener+for+soft+and+thin+nails.do,0
https://www.beautybrands.com/product/sexy+hair+big+sexy+hair+spray+and+play+harder+firm+volumizing+hairspray.do,Sexy Hair Big Sexy Hair Spray And Play Harder Firm Volumizing Hairspray,8312,"USD,20.98",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/8312_default.tif&wid=1000=&cvt=jpeg,"Sexy Hair Big Sexy Hair Spray And Play Harder Firm Volumizing Hairspray provides intense volume, lift and hold to styled hair. ,Size:, 10 oz","""I have thick hair that is also very fine. This hairspray has awesome holding power, but is lightweight and not sticky."" Tamara, IL"," Big Sexy Hair Spray and Play Harder Firm Volumizing Hairspray can be used on all hair types to resist humidity and provide added fullness, lift, super shine and firm hold. Ideal for maintaining dressed-up day looks. Features: - Great for all hair types - Humidity resistant - Adds volume and fullness - Increases shine - Provides firm hold all day  ","Spray into dry hair for volume and a firm, all day hold. Pick up hair and spray at the root for extra volume.","Ingredients/Ingr dients: SD Alcohol 40 (Alcohol Denat.), Hydrofluorocarbon 152a,Pentaerythrityl Tetracaprylate/Tetracaprate,Ethylhexyl Methoxycinnamate. Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer, Aminomethyl Propanol, Cyclopentasiloxane, Cyclotetrasiloxane, Fragrance/Parfum, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Linalool, Triethyl Citrate, Phenyl Trimethicone, AMP-Isostearoyl Hydrolyzed Wheat Protein, PEG/PPG-17/18 Dimethicone,",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/sexy+hair+big+sexy+hair+spray+and+play+harder+firm+volumizing+hairspray.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Sexy Hair Big Sexy Hair Spray And Play Harder Firm Volumizing Hairspray&url=www.beautybrands.com/product/sexy+hair+big+sexy+hair+spray+and+play+harder+firm+volumizing+hairspray.do,498
https://www.beautybrands.com/product/loma+moisturizing+shampoo.do,LOMA Moisturizing Shampoo,26894,"USD,21.98",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26894_default.tif&wid=1000=&cvt=jpeg,"A Moisturizing Shampoo for all hair types, especially normal to dry.","LOMA Moisturizing Shampoo doubles as a great, safe bubble bath!"," LOMA Moisturizing Shampoo is LOMA's most effective scalp solution. Designed to be gentle enough for daily use, this shampoo replenishes moisture for all hair types, especially normal to dry. Benefits: - For all hair types, especially normal to dry, color treated and foiled - Sulfate, gluten, soy and paraben free cleansing - Replenish and restore moisture for silky, shiny hair - Great for hydrating dry scalps - Helps control frizz and preserve color  ","Wet hair, apply desired amount, lather, rinse and follow with Moisturizing Treatment.","Aloe barbadensis leaf juice (aloe vera gel)*, sodium methyl-2 sulfolaurate & disodium 2-sulfolaurates/sodium lauryl sulfoacetate, sodium cocoyl isethionate, sodium lauroamphoacetate, sodium methyl cocoyl taurate, distearyl phthalic acid amide, glycerin, sodium lauryl sulfoacetate, cetrimonium chloride, dimethicone, fragrance, gluconolactone, chlorphenesin, citric acid, guar hydroxypropyltrimonium chloride, xanthan gum, olea europaea (olive) oil, creatine, hydrolyzed quinoa, glycerin* & water & lavandula angustifolia (lavender) flower/leaf/stem extract* & foeniculum vulgare (fennel) seed extract* & helianthus annuus (sunflower) seed extract*, helianthus annuus (sunflower) seed oil*, carthamus tinctorius (safflower) seed oil*, simmondsia chinensis (jojoba) seed oil, panthenol (vitamin b-5), tocopherol (vitamin e)*. *Certified Organic",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/loma+moisturizing+shampoo.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=LOMA Moisturizing Shampoo&url=www.beautybrands.com/product/loma+moisturizing+shampoo.do,0
https://www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+6+pc+mini+pack.do,OPI Nail Lacquer Summer Make the Rules 6 pc Mini Pack,26824,"USD,29.94",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26824_default.tif&wid=1000=&cvt=jpeg,"Get a bright, bold summer vibe with this nail polish 6-pc. mini pack from OPI's #SummerMakeTheRules collection.",Party til dawn in these bold hues that deliver a chip-resistant finish and up to 7 days of wear.," Tropic like it s hot and heat things up as you do. Your bold and colorful demeanor are the envy of all. Now it s time to meet your match. Equal parts business and pleasure, swimsuit up in long-lasting nail polish that commands everyone's attention. You ve just beached full potential. Get down to business with daring pastels and shocking brights from OPI Summer Make the Rules Collection. Nail Lacquer is OPI's original nail polish formula. Use your nail polish shade with OPI base coat and top coat for extended wear. Benefits: - Up to seven days of wear - Fast-drying formula - Over 200 shades to choose from  ","Properly prep your natural nail to ensure nail lacquer adhesion. Start by applying one coat of OPI Natural Nail Base Coat. Shake nail polish shade of choice before application to properly mix pigment (this will help avoid streakiness!). Apply two thin coats to each nail. Brush some nail polish at the nail's free edge to cap the nail and help prevent chipping. Lastly, apply OPI Top Coat. Also cap the free edge with Top Coat. For a manicure that's dry to the touch in minutes, apply 1 drop of DripDry Lacquer Drying Drops to each nail.",,https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+6+pc+mini+pack.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Nail Lacquer Summer Make the Rules 6 pc Mini Pack&url=www.beautybrands.com/product/opi+nail+lacquer+summer+make+the+rules+6+pc+mini+pack.do,0
https://www.beautybrands.com/product/olaplex+no.4d+clean+volume+detox+dry+shampoo.do,Olaplex No.4D Clean Volume Detox Dry Shampoo,26848,"USD,30.00",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26848_default.tif&wid=1000=&cvt=jpeg,Olaplex No.4D Clean Volume Detox Dry Shampoo absorbs oil and detoxifies the scalp.,This dry shampoo is proven to leave hair looking and feeling clean with no clogging buildup or residue.," Light-as-air dry cleansing technology for scalp and hair that feel just washed. This healthy scalp dry shampoo is clinically proven to not clog pores or leave a white residue. No more dry, powdery roots or gritty buildup. Nº.4D is proven to leave hair looking and feeling clean. Benefits: - Clean, weightless body - Detoxifies scalp - No grit or powdery residue - No clogged pores Consumer study results: - 100% saw no white residue - 97% said their hair looked clean - 97% saw a reduction of oil* *In an independent consumer perception study of 30 m/f, ages 18+ after 3 consecutive uses.  ",Shake well before using. Separate hair into sections. Hold the bottle 6-10 away from hair and spray onto roots. Wait 30 seconds and massage into the scalp.,"Hydrofluorocarbon 152a, Butane, Alcohol Denat., Aluminum Starch Octenylsuccinate, Fragrance (Parfum), Zeolite, Bentonite, Water (Aqua), Oryza Sativa (Rice) Starch, Distearyldimonium Chloride, Maltodextrin, Cetrimonium Chloride, Nephelium Lappaceum Seed Extract, Citric Acid, Bis-Aminopropyl Diglycol Dimaleate, Phenoxyethanol, Sodium Benzoate.",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/olaplex+no.4d+clean+volume+detox+dry+shampoo.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=Olaplex No.4D Clean Volume Detox Dry Shampoo&url=www.beautybrands.com/product/olaplex+no.4d+clean+volume+detox+dry+shampoo.do,0
https://www.beautybrands.com/product/opi+nature+strong+base+coat.do,OPI Nature Strong Base Coat,26449,"USD,12.50",https://ii.beautybrands.com/fcgi-bin/iipsrv.fcgi?FIF=/images/beautybrands/source/26449_default.tif&wid=1000=&cvt=jpeg,Feed your nails with a 2-in-1 fortifying Botanical Base Coat.,Strengthen your nails with this natural origin base coat for healthy and smooth looking nails.," This multi-benefit Botanical Base Coat can be worn alone or as a part of the Nature Strong system. This natural origin base coat is boosted with gentle skincare ingredients for healthy and smooth looking nails. OPI Nature Strong is OPI's first natural origin nail polish, which lasts up to seven days of wear and shine. Use your natural origin base coat with Nature Strong natural origin nail polish and Nature Strong Top Coat for a complete Nature Strong system. Made in the USA. Benefits: - 9-Free* and cruelty-free - Vegan formula - Glitter made from cellulose from sustainably farmed eucalyptus trees - Plant-based ingredients sourced from nature - Long-lasting, high-shine finish - Over 30 original shades to choose from *US only  ",1. Properly prep your natural nail to ensure natural-origin nail polish adhesion.,"Ethyl Acetate, Butyl Acetate, Nitrocellulose, Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer, Acetyl Tributyl Citrate, Alcohol, Glycolic Acid, Aqua/Water/Eau, Gluconolactone, Malic Acid, Squalane, Lactic Acid, Helianthus Annuus (Sunflower) Seed Oil, Trimethylpentanediyl Dibenzoate, Bambusa Vulgaris Sap Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum/Sugar Cane Extract/Extrait de canne a sucre, Tocopherol, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, [May Contain/Peut Contenir/+/-: Yellow 5 Lake (CI 19140), Ferric Ammonium Ferrocyanide (CI 77510)].",https://www.facebook.com/sharer/sharer.php?u=www.beautybrands.com/product/opi+nature+strong+base+coat.do&src=sdkpreparse,https://twitter.com/intent/tweet?text=OPI Nature Strong Base Coat&url=www.beautybrands.com/product/opi+nature+strong+base+coat.do,0
